id,smi,label
pos_1,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,0
pos_2,ClCCCl,0
pos_3,CC12NC(Cc3ccccc31)c1ccccc12,0
pos_4,c1ccccc1,0
pos_5,CCCCCCCC,0
pos_6,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
pos_7,CN1CCCC1c1cccnc1,0
pos_8,Cc1ccccc1,0
pos_9,CNC(C)Cc1ccccc1,0
pos_10,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0
pos_11,O=C(O)COc1ccc(Cl)cc1Cl,0
pos_12,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0
pos_13,CCOC(=O)c1ccc(N)cc1,0
pos_14,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0
pos_15,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
pos_16,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0
pos_17,CC(C)(C)NCC(O)COc1ccccc1C#N,0
pos_18,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
pos_19,CCCCOC(=O)c1ccc(N)cc1,0
pos_20,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
pos_21,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0
pos_22,Clc1cccc(Cl)c1N=C1NCCN1,0
pos_23,CNCCCN1c2ccccc2CCc2ccccc21,0
pos_24,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0
pos_25,CC(N)Cc1ccccc1,0
pos_26,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
pos_27,CN(C)CCOC(c1ccccc1)c1ccccc1,0
pos_28,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
pos_29,FC(F)OC(F)(F)C(F)Cl,0
pos_30,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0
pos_31,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
pos_32,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
pos_33,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
pos_34,FC(F)(F)C(Cl)Br,0
pos_35,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
pos_37,CN(C)CCCN1c2ccccc2CCc2ccccc21,0
pos_38,FC(F)OC(Cl)C(F)(F)F,0
pos_39,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
pos_41,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0
pos_42,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0
pos_43,COC(F)(F)C(Cl)Cl,0
pos_44,COC(=O)C(c1ccccc1)C1CCCCN1,0
pos_45,COCCc1ccc(OCC(O)CNC(C)C)cc1,0
pos_46,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0
pos_47,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
pos_48,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0
pos_49,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,0
pos_50,CN(C)CCCN1c2ccccc2Sc2ccccc21,0
pos_51,CC(C)c1cccc(C(C)C)c1O,0
pos_54,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,0
pos_55,CCCN(CCC)CCc1cccc2c1CC(=O)N2,0
pos_56,FCOC(C(F)(F)F)C(F)(F)F,0
pos_57,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
pos_60,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0
pos_61,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
pos_62,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0
pos_63,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,0
pos_64,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,0
pos_65,ClC(Cl)Cl,0
pos_66,CCCCCO,0
pos_67,CC(Cl)(Cl)Cl,0
pos_68,C=C,0
pos_69,CC(C)Br,0
pos_70,CC(C)(C)O,0
pos_71,CCC(C)(C)C,0
pos_72,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,0
pos_73,CCCCC1(CC)C(=O)NC(=O)NC1=O,0
pos_74,ClC=C(Cl)Cl,0
pos_75,CCCOC(=O)c1ccc(N)cc1,0
pos_76,Cc1ccccc1C,0
pos_77,Cc1ccc(C)c(C)c1,0
pos_78,CCC(C)CC,0
pos_79,CC1CCCC1,0
pos_80,CC(C)(C)c1ccccc1,0
pos_81,FC(F)(F)c1ccc(Cl)cc1,0
pos_82,CCc1ccccc1,0
pos_83,C=Cc1ccccc1,0
pos_84,Cc1ccc(C)cc1,0
pos_85,CCCBr,0
pos_86,CCCC(C)C,0
pos_87,CC(=O)OC(C)C,0
pos_88,Cc1cccc(C)c1,0
pos_89,CC1CCCCC1,0
pos_90,CCCOC(C)=O,0
pos_91,CCCCC,0
pos_92,C=COC=C,0
pos_93,CC(=O)OCC(C)C,0
pos_94,CCCCCC,0
pos_95,C1CCCCC1,0
pos_96,C=CCCCCCC,0
pos_97,CCCCCCCCC,0
pos_98,CCCCCCC,0
pos_99,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0
pos_100,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0
pos_101,C=COCC(F)(F)F,0
pos_102,CC1CCCCC1C,0
pos_103,CCCCC(C)C,0
pos_104,CCCCCC(C)C,0
pos_105,CCCCCOC(C)=O,0
pos_106,ClCC(Cl)(Cl)Cl,0
pos_107,CCOC(C)(C)C,0
pos_108,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,0
pos_109,CCCCCCCC(C)C,0
pos_110,C=CCCCCCCCC,0
pos_111,COC(C)(C)C,0
pos_112,CCCCCCCCCC,0
pos_113,FS(F)(F)(F)(F)F,0
pos_115,CC(C)(C)C1CCCCC1,0
pos_116,CCCCCCC(C)C,0
pos_117,CNCCCN1c2ccccc2Sc2ccccc21,0
pos_118,CCCCOC(C)=O,0
pos_119,CC(=O)OCCC(C)C,0
pos_120,C=CCCCCCCC,0
pos_121,FC(Br)C(F)(F)F,0
pos_122,ClC(Cl)=C(Cl)Cl,0
pos_123,c1cc2ccc3cccc4ccc(c1)c2c34,0
pos_124,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,0
pos_125,FC(F)OC(F)C(F)(F)F,0
pos_126,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0
