,smi,label
0,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,0
1,CC12NC(Cc3ccccc31)c1ccccc12,0
2,c1ccccc1,0
3,CCCCCCCC,0
4,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
5,CN1CCCC1c1cccnc1,0
6,Cc1ccccc1,0
7,CNC(C)Cc1ccccc1,0
8,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0
9,O=C(O)COc1ccc(Cl)cc1Cl,0
10,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0
11,CCOC(=O)c1ccc(N)cc1,0
12,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0
13,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
14,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0
15,CC(C)(C)NCC(O)COc1ccccc1C#N,0
16,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
17,CCCCOC(=O)c1ccc(N)cc1,0
18,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
19,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0
20,Clc1cccc(Cl)c1N=C1NCCN1,0
21,CNCCCN1c2ccccc2CCc2ccccc21,0
22,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0
23,CC(N)Cc1ccccc1,0
24,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
25,CN(C)CCOC(c1ccccc1)c1ccccc1,0
26,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
27,FC(F)OC(F)(F)C(F)Cl,0
28,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0
29,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
30,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
31,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
32,FC(F)(F)C(Cl)Br,0
33,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
34,CN(C)CCCN1c2ccccc2CCc2ccccc21,0
35,FC(F)OC(Cl)C(F)(F)F,0
36,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
37,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0
38,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0
39,COC(F)(F)C(Cl)Cl,0
40,COC(=O)C(c1ccccc1)C1CCCCN1,0
41,COCCc1ccc(OCC(O)CNC(C)C)cc1,0
42,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0
43,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
44,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0
45,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,0
46,CN(C)CCCN1c2ccccc2Sc2ccccc21,0
47,CC(C)c1cccc(C(C)C)c1O,0
48,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,0
49,CCCN(CCC)CCc1cccc2c1CC(=O)N2,0
50,FCOC(C(F)(F)F)C(F)(F)F,0
51,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
52,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0
53,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
54,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0
55,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,0
56,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,0
57,CCCCCO,0
58,CC(Cl)(Cl)Cl,0
59,CC(C)(C)O,0
60,CCC(C)(C)C,0
61,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,0
62,CCCCC1(CC)C(=O)NC(=O)NC1=O,0
63,ClC=C(Cl)Cl,0
64,CCCOC(=O)c1ccc(N)cc1,0
65,Cc1ccccc1C,0
66,Cc1ccc(C)c(C)c1,0
67,CCC(C)CC,0
68,CC1CCCC1,0
69,CC(C)(C)c1ccccc1,0
70,FC(F)(F)c1ccc(Cl)cc1,0
71,CCc1ccccc1,0
72,C=Cc1ccccc1,0
73,Cc1ccc(C)cc1,0
74,CCCC(C)C,0
75,CC(=O)OC(C)C,0
76,Cc1cccc(C)c1,0
77,CC1CCCCC1,0
78,CCCOC(C)=O,0
79,CCCCC,0
80,C=COC=C,0
81,CC(=O)OCC(C)C,0
82,CCCCCC,0
83,C1CCCCC1,0
84,C=CCCCCCC,0
85,CCCCCCCCC,0
86,CCCCCCC,0
87,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0
88,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0
89,C=COCC(F)(F)F,0
90,CC1CCCCC1C,0
91,CCCCC(C)C,0
92,CCCCCC(C)C,0
93,CCCCCOC(C)=O,0
94,ClCC(Cl)(Cl)Cl,0
95,CCOC(C)(C)C,0
96,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,0
97,CCCCCCCC(C)C,0
98,C=CCCCCCCCC,0
99,COC(C)(C)C,0
