,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.912,0.824,0.812,0.652,0.65,0.825,0.854,0.774,0.774,0.875
Test2,0.804,0.804,0.789,0.612,0.609,0.805,0.834,0.749,0.749,0.858
Test3,0.801,0.8,0.789,0.604,0.602,0.802,0.82,0.76,0.76,0.841
Test4,0.929,0.827,0.811,0.665,0.657,0.83,0.883,0.749,0.749,0.905
Test5,0.809,0.81,0.794,0.625,0.621,0.811,0.847,0.746,0.746,0.873
Test6,0.9,0.816,0.801,0.638,0.634,0.818,0.856,0.752,0.752,0.88
Test7,0.811,0.81,0.797,0.625,0.623,0.812,0.839,0.76,0.76,0.861
Test8,0.909,0.818,0.808,0.639,0.637,0.819,0.835,0.784,0.784,0.853
Test9,0.819,0.82,0.806,0.644,0.64,0.821,0.853,0.763,0.763,0.876
Test10,0.795,0.795,0.778,0.597,0.592,0.797,0.833,0.729,0.729,0.861
均值,0.849 ,0.812 ,0.799 ,0.630 ,,,,,,
标准差,0.053 ,0.010 ,0.011 ,0.020 ,,,,,,
