,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.829,0.793,0.785,0.587,0.586,0.793,0.797,0.773,0.773,0.813
Test2,0.815,0.771,0.758,0.543,0.542,0.772,0.782,0.736,0.736,0.806
Test3,0.799,0.756,0.74,0.515,0.513,0.757,0.774,0.709,0.709,0.803
Test4,0.813,0.772,0.758,0.547,0.545,0.773,0.788,0.731,0.731,0.813
Test5,0.82,0.784,0.775,0.57,0.569,0.785,0.792,0.758,0.758,0.811
Test6,0.82,0.772,0.763,0.546,0.545,0.773,0.775,0.752,0.752,0.793
Test7,0.842,0.802,0.792,0.607,0.606,0.803,0.817,0.769,0.769,0.836
Test8,0.843,0.805,0.799,0.61,0.61,0.805,0.802,0.796,0.796,0.814
Test9,0.824,0.786,0.773,0.574,0.572,0.787,0.804,0.744,0.744,0.827
Test10,0.837,0.798,0.787,0.596,0.596,0.798,0.809,0.767,0.767,0.828
均值,0.824 ,0.784 ,0.773 ,0.570 ,,,,,,
标准差,0.013 ,0.015 ,0.017 ,0.030 ,,,,,,
