,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.75,0.75,0.73,0.504,0.501,0.751,0.775,0.69,0.69,0.809,
Test2,0.743,0.743,0.731,0.487,0.487,0.744,0.748,0.715,0.715,0.771,
Test3,0.746,0.746,0.732,0.493,0.493,0.747,0.756,0.709,0.709,0.783,
Test4,0.757,0.757,0.744,0.515,0.514,0.758,0.766,0.724,0.724,0.79,
Test5,0.733,0.732,0.721,0.466,0.466,0.733,0.735,0.707,0.707,0.758,
Test6,0.733,0.732,0.721,0.466,0.466,0.733,0.735,0.707,0.707,0.758,
Test7,0.748,0.748,0.733,0.497,0.496,0.749,0.759,0.709,0.709,0.786,
Test8,0.736,0.736,0.721,0.474,0.473,0.737,0.747,0.697,0.697,0.776,
Test9,0.739,0.74,0.726,0.48,0.479,0.74,0.746,0.707,0.707,0.772,
Test10,0.744,0.744,0.729,0.49,0.489,0.745,0.757,0.702,0.702,0.786,
¾ùÖµ,0.743 ,0.743 ,0.729 ,0.487 ,,,,,,,
·½²î,0.007 ,0.008 ,0.007 ,0.015 ,,,,,,,
