,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.917,0.835,0.829,0.671,0.67,0.835,0.841,0.817,0.817,0.853
Test2,0.908,0.825,0.816,0.652,0.651,0.826,0.841,0.792,0.792,0.858
Test3,0.921,0.842,0.835,0.685,0.684,0.842,0.85,0.821,0.821,0.863
Test4,0.918,0.838,0.83,0.68,0.678,0.84,0.858,0.803,0.803,0.874
Test5,0.909,0.836,0.831,0.672,0.672,0.836,0.833,0.829,0.829,0.843
Test6,0.902,0.827,0.818,0.656,0.655,0.828,0.842,0.795,0.795,0.859
Test7,0.924,0.844,0.838,0.689,0.688,0.844,0.851,0.826,0.826,0.862
Test8,0.922,0.841,0.837,0.683,0.683,0.842,0.839,0.836,0.836,0.847
Test9,0.918,0.84,0.833,0.682,0.681,0.841,0.851,0.816,0.816,0.864
Test10,0.921,0.842,0.837,0.685,0.685,0.843,0.844,0.83,0.83,0.855
均值,0.916 ,0.837 ,0.830 ,0.676 ,,,,,,
标准差,0.007 ,0.006 ,0.007 ,0.012 ,,,,,,
