,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.867,0.788,0.78,0.576,0.576,0.788,0.788,0.773,0.773,0.803
Test2,0.852,0.764,0.755,0.529,0.528,0.764,0.765,0.746,0.746,0.782
Test3,0.856,0.776,0.766,0.552,0.551,0.776,0.78,0.752,0.752,0.799
Test4,0.855,0.762,0.756,0.526,0.526,0.763,0.757,0.756,0.756,0.769
Test5,0.857,0.78,0.774,0.561,0.561,0.781,0.776,0.773,0.773,0.788
Test6,0.851,0.767,0.763,0.534,0.534,0.767,0.756,0.771,0.771,0.763
Test7,0.858,0.78,0.765,0.563,0.561,0.781,0.802,0.731,0.731,0.828
Test8,0.887,0.808,0.808,0.616,0.614,0.807,0.782,0.837,0.837,0.779
Test9,0.861,0.785,0.775,0.57,0.57,0.785,0.791,0.761,0.761,0.809
Test10,0.88,0.802,0.792,0.606,0.606,0.803,0.815,0.771,0.771,0.834
均值,0.862 ,0.781 ,0.773 ,0.563 ,,,,,,
标准差,0.011 ,0.015 ,0.016 ,0.029 ,,,,,,
