,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.922,0.842,0.836,0.685,0.685,0.843,0.85,0.822,0.822,0.862,
Test2,0.917,0.84,0.838,0.68,0.68,0.84,0.826,0.851,0.851,0.829,
Test3,0.91,0.83,0.823,0.66,0.659,0.83,0.834,0.812,0.812,0.847,
Test4,0.913,0.835,0.831,0.671,0.671,0.835,0.831,0.831,0.831,0.84,
Test5,0.917,0.853,0.848,0.707,0.707,0.854,0.859,0.837,0.837,0.869,
Test6,0.9,0.834,0.828,0.669,0.669,0.835,0.837,0.82,0.82,0.848,
Test7,0.912,0.828,0.822,0.658,0.658,0.829,0.836,0.808,0.808,0.849,
Test8,0.923,0.855,0.852,0.712,0.712,0.856,0.853,0.851,0.851,0.86,
Test9,0.908,0.832,0.83,0.664,0.664,0.832,0.819,0.841,0.841,0.823,
Test10,0.922,0.844,0.841,0.689,0.689,0.845,0.84,0.841,0.841,0.848,
均值,0.914 ,0.839 ,0.835 ,0.680 ,,,,,,,
标准差,0.007 ,0.009 ,0.010 ,0.018 ,,,,,,,
