,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.894,0.808,0.804,0.615,0.615,0.808,0.799,0.808,0.808,0.807
Test2,0.903,0.815,0.813,0.63,0.629,0.814,0.797,0.83,0.83,0.8
Test3,0.907,0.828,0.825,0.656,0.655,0.828,0.816,0.835,0.835,0.821
Test4,0.895,0.81,0.798,0.622,0.621,0.811,0.83,0.769,0.769,0.851
Test5,0.888,0.798,0.79,0.596,0.596,0.798,0.801,0.779,0.779,0.816
Test6,0.894,0.806,0.798,0.613,0.612,0.806,0.811,0.785,0.785,0.827
Test7,0.894,0.811,0.802,0.623,0.623,0.812,0.82,0.785,0.785,0.837
Test8,0.897,0.81,0.804,0.622,0.622,0.811,0.814,0.794,0.794,0.827
Test9,0.89,0.812,0.804,0.626,0.625,0.813,0.82,0.789,0.789,0.836
Test10,0.884,0.798,0.787,0.597,0.596,0.798,0.809,0.766,0.766,0.829
均值,0.895 ,0.810 ,0.803 ,0.620 ,,,,,,
标准差,0.006 ,0.008 ,0.010 ,0.016 ,,,,,,
