,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.93,0.836,0.822,0.68,0.674,0.838,0.881,0.771,0.771,0.902,
Test2,0.931,0.824,0.807,0.658,0.651,0.826,0.878,0.747,0.747,0.902,
Test3,0.933,0.845,0.833,0.696,0.692,0.846,0.884,0.788,0.788,0.902,
Test4,0.929,0.83,0.813,0.67,0.663,0.832,0.888,0.75,0.75,0.91,
Test5,0.933,0.844,0.833,0.696,0.692,0.846,0.886,0.785,0.785,0.904,
Test6,0.922,0.817,0.798,0.645,0.637,0.819,0.877,0.732,0.732,0.902,
Test7,0.938,0.842,0.829,0.689,0.685,0.843,0.882,0.783,0.783,0.9,
Test8,0.933,0.848,0.837,0.7,0.697,0.849,0.879,0.8,0.8,0.896,
Test9,0.933,0.848,0.835,0.701,0.697,0.849,0.889,0.788,0.788,0.907,
Test10,0.935,0.836,0.82,0.681,0.674,0.837,0.892,0.758,0.758,0.913,
均值,0.932 ,0.837 ,0.823 ,0.682 ,,,,,,,
标准差,0.004 ,0.010 ,0.013 ,0.018 ,,,,,,,
