,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.849,0.792,0.783,0.583,0.583,0.792,0.794,0.773,0.773,0.81
Test2,0.843,0.781,0.77,0.564,0.563,0.782,0.792,0.748,0.748,0.814
Test3,0.82,0.764,0.747,0.53,0.528,0.765,0.783,0.715,0.715,0.812
Test4,0.833,0.771,0.757,0.545,0.544,0.772,0.789,0.727,0.727,0.815
Test5,0.839,0.792,0.784,0.586,0.585,0.793,0.797,0.771,0.771,0.814
Test6,0.825,0.769,0.758,0.539,0.539,0.77,0.776,0.742,0.742,0.796
Test7,0.865,0.796,0.785,0.595,0.593,0.797,0.813,0.758,0.758,0.834
Test8,0.875,0.812,0.808,0.625,0.625,0.812,0.807,0.808,0.808,0.816
Test9,0.843,0.783,0.768,0.569,0.567,0.784,0.806,0.734,0.734,0.832
Test10,0.856,0.798,0.787,0.597,0.596,0.799,0.812,0.762,0.762,0.833
均值,0.845 ,0.786 ,0.775 ,0.573 ,,,,,,
标准差,0.016 ,0.014 ,0.017 ,0.028 ,,,,,,
