,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.912,0.827,0.809,0.665,0.656,0.829,0.887,0.744,0.744,0.91
Test2,0.91,0.83,0.812,0.673,0.663,0.833,0.897,0.742,0.742,0.919
Test3,0.907,0.808,0.786,0.63,0.619,0.811,0.875,0.713,0.713,0.903
Test4,0.908,0.818,0.798,0.648,0.639,0.82,0.882,0.729,0.729,0.907
Test5,0.906,0.822,0.799,0.659,0.646,0.824,0.899,0.719,0.719,0.924
Test6,0.902,0.819,0.8,0.65,0.642,0.822,0.88,0.733,0.733,0.905
Test7,0.907,0.83,0.814,0.669,0.662,0.832,0.882,0.756,0.756,0.904
Test8,0.915,0.836,0.818,0.686,0.675,0.838,0.908,0.744,0.744,0.928
Test9,0.915,0.821,0.801,0.654,0.645,0.823,0.886,0.731,0.731,0.911
Test10,0.907,0.834,0.82,0.675,0.67,0.836,0.88,0.767,0.767,0.901
均值,0.909 ,0.825 ,0.806 ,0.661 ,,,,,,
标准差,0.004 ,0.008 ,0.010 ,0.015 ,,,,,,
