,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.909,0.818,0.817,0.637,0.636,0.818,0.799,0.837,0.837,0.8
Test2,0.9,0.815,0.804,0.633,0.632,0.816,0.835,0.776,0.776,0.854
Test3,0.922,0.84,0.836,0.68,0.68,0.84,0.834,0.838,0.838,0.842
Test4,0.921,0.837,0.827,0.677,0.675,0.838,0.862,0.795,0.795,0.879
Test5,0.9,0.81,0.812,0.621,0.619,0.809,0.781,0.845,0.845,0.776
Test6,0.895,0.811,0.801,0.624,0.623,0.812,0.825,0.779,0.779,0.843
Test7,0.925,0.837,0.824,0.681,0.676,0.839,0.878,0.777,0.777,0.897
Test8,0.914,0.835,0.832,0.669,0.669,0.835,0.822,0.843,0.843,0.827
Test9,0.914,0.828,0.822,0.657,0.657,0.828,0.831,0.813,0.813,0.843
Test10,0.912,0.839,0.836,0.677,0.677,0.839,0.827,0.845,0.845,0.833
均值,0.911 ,0.827 ,0.821 ,0.656 ,,,,,,
标准差,0.010 ,0.012 ,0.012 ,0.023 ,,,,,,
