,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.847,0.764,0.758,0.526,0.526,0.763,0.754,0.762,0.762,0.765
Test2,0.842,0.755,0.75,0.51,0.51,0.755,0.746,0.754,0.754,0.756
Test3,0.85,0.768,0.765,0.537,0.537,0.769,0.757,0.773,0.773,0.764
Test4,0.852,0.766,0.756,0.533,0.533,0.767,0.771,0.74,0.74,0.792
Test5,0.84,0.764,0.748,0.533,0.531,0.766,0.788,0.711,0.711,0.818
Test6,0.827,0.742,0.736,0.483,0.483,0.742,0.733,0.738,0.738,0.745
Test7,0.842,0.756,0.755,0.513,0.513,0.756,0.741,0.769,0.769,0.744
Test8,0.863,0.777,0.775,0.554,0.553,0.777,0.76,0.79,0.79,0.764
Test9,0.837,0.748,0.742,0.497,0.497,0.749,0.742,0.742,0.742,0.755
Test10,0.853,0.77,0.758,0.541,0.54,0.771,0.779,0.739,0.739,0.801
均值,0.845 ,0.761 ,0.754 ,0.523 ,,,,,,
标准差,0.009 ,0.010 ,0.011 ,0.021 ,,,,,,
