,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.72,0.664,0.605,0.343,0.331,0.668,0.719,0.523,0.523,0.805
Test2,0.68,0.63,0.554,0.275,0.262,0.634,0.681,0.468,0.468,0.792
Test3,0.732,0.674,0.627,0.357,0.349,0.676,0.715,0.559,0.559,0.788
Test4,0.699,0.654,0.573,0.332,0.311,0.659,0.734,0.47,0.47,0.838
Test5,0.708,0.657,0.613,0.32,0.314,0.659,0.685,0.555,0.555,0.758
Test6,0.716,0.65,0.565,0.327,0.304,0.656,0.734,0.458,0.458,0.843
Test7,0.734,0.673,0.618,0.361,0.349,0.677,0.728,0.536,0.536,0.81
Test8,0.737,0.666,0.601,0.351,0.335,0.67,0.732,0.51,0.51,0.822
Test9,0.719,0.648,0.582,0.311,0.299,0.652,0.701,0.498,0.498,0.798
Test10,0.703,0.652,0.615,0.308,0.304,0.654,0.671,0.567,0.567,0.736
¾ùÖµ,0.715 ,0.657 ,0.595 ,0.329 ,,,,,,
·½²î,0.017 ,0.013 ,0.024 ,0.025 ,,,,,,
