,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.899,0.803,0.802,0.606,0.606,0.803,0.786,0.817,0.817,0.789
Test2,0.898,0.82,0.82,0.641,0.64,0.82,0.799,0.842,0.842,0.799
Test3,0.894,0.81,0.798,0.623,0.621,0.811,0.833,0.765,0.765,0.855
Test4,0.898,0.815,0.811,0.63,0.63,0.815,0.806,0.816,0.816,0.814
Test5,0.906,0.822,0.822,0.644,0.643,0.821,0.797,0.849,0.849,0.795
Test6,0.884,0.802,0.794,0.604,0.604,0.802,0.804,0.785,0.785,0.818
Test7,0.892,0.801,0.799,0.603,0.602,0.801,0.788,0.81,0.81,0.792
Test8,0.908,0.822,0.82,0.645,0.645,0.823,0.812,0.827,0.827,0.818
Test9,0.89,0.802,0.798,0.603,0.603,0.801,0.79,0.806,0.806,0.797
Test10,0.903,0.809,0.804,0.618,0.618,0.809,0.806,0.802,0.802,0.816
均值,0.897 ,0.811 ,0.807 ,0.622 ,,,,,,
标准差,0.007 ,0.008 ,0.010 ,0.017 ,,,,,,
