,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,,
Test1,0.874,0.79,0.779,0.582,0.581,0.791,0.803,0.756,0.756,0.824,,
Test2,0.89,0.805,0.793,0.613,0.611,0.806,0.827,0.761,0.761,0.849,,
Test3,0.89,0.81,0.807,0.621,0.621,0.81,0.801,0.812,0.812,0.809,,
Test4,0.874,0.8,0.791,0.601,0.6,0.801,0.809,0.773,0.773,0.827,,
Test5,0.88,0.787,0.776,0.576,0.575,0.788,0.8,0.753,0.753,0.821,,
Test6,0.872,0.783,0.78,0.567,0.567,0.783,0.771,0.789,0.789,0.777,,
Test7,0.874,0.785,0.771,0.573,0.571,0.786,0.805,0.74,0.74,0.83,,
Test8,0.89,0.802,0.79,0.605,0.603,0.802,0.817,0.765,0.765,0.838,,
Test9,0.869,0.786,0.776,0.574,0.574,0.787,0.796,0.758,0.758,0.815,,
Test10,0.881,0.794,0.789,0.59,0.59,0.795,0.792,0.785,0.785,0.804,,
均值,0.879 ,0.794 ,0.785 ,0.590 ,,,,,,,,
标准差,0.008 ,0.009 ,0.010 ,0.018 ,,,,,,,,
