,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.916,0.836,0.828,0.675,0.674,0.837,0.854,0.802,0.802,0.87,
Test2,0.905,0.817,0.804,0.638,0.635,0.818,0.844,0.768,0.768,0.866,
Test3,0.912,0.832,0.825,0.666,0.665,0.833,0.84,0.811,0.811,0.854,
Test4,0.911,0.832,0.82,0.669,0.666,0.833,0.866,0.778,0.778,0.886,
Test5,0.908,0.833,0.822,0.669,0.667,0.834,0.859,0.789,0.789,0.877,
Test6,0.894,0.818,0.804,0.644,0.64,0.82,0.859,0.755,0.755,0.882,
Test7,0.916,0.842,0.832,0.685,0.684,0.842,0.863,0.803,0.803,0.88,
Test8,0.91,0.837,0.829,0.677,0.676,0.838,0.854,0.805,0.805,0.869,
Test9,0.914,0.84,0.833,0.683,0.682,0.842,0.856,0.811,0.811,0.87,
Test10,0.905,0.825,0.812,0.654,0.651,0.826,0.857,0.772,0.772,0.878,
均值,0.909 ,0.831 ,0.821 ,0.666 ,,,,,,,
标准差,0.006 ,0.008 ,0.010 ,0.015 ,,,,,,,
