,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.811,0.786,0.779,0.573,0.573,0.787,0.786,0.773,0.773,0.8
Test2,0.803,0.784,0.774,0.569,0.568,0.785,0.792,0.756,0.756,0.812
Test3,0.799,0.76,0.745,0.522,0.52,0.761,0.775,0.717,0.717,0.802
Test4,0.805,0.78,0.767,0.561,0.56,0.78,0.793,0.744,0.744,0.815
Test5,0.816,0.779,0.771,0.559,0.558,0.779,0.781,0.76,0.76,0.798
Test6,0.804,0.767,0.761,0.535,0.535,0.768,0.763,0.758,0.758,0.776
Test7,0.822,0.787,0.777,0.576,0.575,0.788,0.795,0.76,0.76,0.814
Test8,0.835,0.814,0.81,0.626,0.626,0.813,0.803,0.816,0.816,0.811
Test9,0.825,0.786,0.775,0.573,0.572,0.786,0.796,0.754,0.754,0.817
Test10,0.841,0.808,0.801,0.616,0.616,0.808,0.809,0.793,0.793,0.822
均值,0.816 ,0.785 ,0.776 ,0.571 ,,,,,,
标准差,0.014 ,0.015 ,0.018 ,0.030 ,,,,,,
