,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.905,0.833,0.822,0.671,0.668,0.835,0.863,0.785,0.785,0.881
Test2,0.888,0.838,0.829,0.678,0.677,0.839,0.858,0.802,0.802,0.874
Test3,0.88,0.814,0.799,0.636,0.631,0.816,0.857,0.748,0.748,0.881
Test4,0.901,0.833,0.822,0.67,0.667,0.834,0.86,0.787,0.787,0.879
Test5,0.904,0.833,0.82,0.672,0.668,0.835,0.873,0.773,0.773,0.893
Test6,0.881,0.824,0.813,0.653,0.651,0.826,0.853,0.777,0.777,0.872
Test7,0.892,0.812,0.796,0.631,0.626,0.814,0.853,0.746,0.746,0.878
Test8,0.901,0.825,0.811,0.657,0.653,0.827,0.864,0.764,0.764,0.886
Test9,0.886,0.824,0.809,0.654,0.65,0.825,0.865,0.761,0.761,0.887
Test10,0.904,0.846,0.839,0.693,0.693,0.847,0.859,0.82,0.82,0.872
均值,0.894 ,0.828 ,0.816 ,0.662 ,0.658 ,0.830 ,0.861 ,0.776 ,0.776 ,0.880 
标准差,0.009 ,0.010 ,0.012 ,0.018 ,0.019 ,0.010 ,0.006 ,0.022 ,0.022 ,0.007 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
