,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.883,0.808,0.793,0.62,0.617,0.809,0.839,0.752,0.752,0.863,
Test2,0.9,0.825,0.815,0.652,0.651,0.826,0.842,0.79,0.79,0.86,
Test3,0.905,0.832,0.822,0.669,0.667,0.834,0.861,0.786,0.786,0.879,
Test4,0.89,0.814,0.8,0.633,0.63,0.815,0.846,0.759,0.759,0.869,
Test5,0.882,0.801,0.787,0.606,0.603,0.802,0.828,0.75,0.75,0.852,
Test6,0.89,0.814,0.801,0.633,0.63,0.816,0.845,0.761,0.761,0.867,
Test7,0.89,0.808,0.794,0.621,0.618,0.81,0.839,0.754,0.754,0.863,
Test8,0.89,0.821,0.81,0.646,0.644,0.822,0.847,0.775,0.775,0.867,
Test9,0.893,0.82,0.81,0.644,0.642,0.822,0.843,0.779,0.779,0.862,
Test10,0.881,0.798,0.783,0.6,0.597,0.799,0.826,0.744,0.744,0.852,
均值,0.890 ,0.814 ,0.802 ,0.632 ,,,,,,,
标准差,0.007 ,0.010 ,0.012 ,0.020 ,,,,,,,
