,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.83,0.788,0.781,0.575,0.575,0.788,0.786,0.775,0.775,0.8
Test2,0.823,0.772,0.761,0.545,0.545,0.773,0.781,0.742,0.742,0.802
Test3,0.814,0.763,0.747,0.528,0.527,0.764,0.782,0.715,0.715,0.811
Test4,0.829,0.77,0.756,0.544,0.543,0.772,0.789,0.725,0.725,0.816
Test5,0.831,0.786,0.776,0.573,0.573,0.787,0.793,0.76,0.76,0.812
Test6,0.823,0.766,0.756,0.533,0.532,0.767,0.769,0.744,0.744,0.788
Test7,0.845,0.792,0.783,0.587,0.587,0.794,0.804,0.762,0.762,0.823
Test8,0.857,0.81,0.805,0.618,0.618,0.809,0.802,0.808,0.808,0.811
Test9,0.831,0.788,0.777,0.58,0.579,0.79,0.805,0.75,0.75,0.827
Test10,0.853,0.8,0.791,0.601,0.6,0.8,0.807,0.775,0.775,0.825
均值,0.834 ,0.784 ,0.773 ,0.568 ,,,,,,
标准差,0.013 ,0.015 ,0.017 ,0.028 ,,,,,,
